Publisher (costs in MEUR),2010,2011,2012,2013,2014,2015,2016,2017,Total,%
Society of Exploration Geophysicists (SEG),0,0,0,0,0,0,0,0,0.01,0
eFunda Inc.,0,0,0,0,0,0,0,0,0.01,0
IOS Press,0,0,0,0,0,0,0,0,0.01,0
International Bureau of Fiscal Documentation (IBFD),0,0,0,0,0,0,0,0,0.01,0
Royal Adelaide Hospital,0,0,0,0,0,0,0,0,0.01,0
Communication Institute for Online Scholarship (CIOS),0,0,0,0,0,0,0,0,0.01,0
Mid Sweden University,0,0,0,0,0,0,0,0,0.01,0
Pira International,0,0,0,0,0,0,0,0,0.01,0
Keskisuomalainen Oyj.,0,0,0,0,0,0,0,0,0.01,0
University of Oxford Oriental Studies Faculty,0,0,0,0,0,0,0,0,0.01,0
Niedersächsische Staats-und Universitätsbibliothek Göttingen,0,0,0,0,0,0,0,0,0.01,0
Lovdata,0,0,0,0,0,0,0,0,0,0
TAK Oy,0,0,0,0,0,0,0,0,0,0
Axiell Media,0,0,0,0,0,0,0,0,0,0
Tax Analysts,0,0,0,0,0,0,0,0,0,0
PhilPapers Foundation,0,0,0,0,0,0,0,0,0,0
The National Bureau of Economic Research,0,0,0,0,0,0,0,0,0,0
Kirjavälitys,0,0,0,0,0,0,0,0,0,0
Viestilehdet Oy,0,0,0,0,0,0,0,0,0,0
Crnet Corporate Responsibility Network,0,0,0,0,0,0,0,0,0,0
Crnet Oy,0,0,0,0,0,0,0,0,0,0
IPA Source,0,0,0,0,0,0,0,0,0,0
Adelaide Research & Innovation,0,0,0,0,0,0,0,0,0,0
HS/M-Brain,0,0,0,0,0,0,0,0,0,0
Bisnode,0,0,0,0,0,0,0,0,0,0
Institution of Engineering and Technology,0,0,0,0,0,0,0,0,0,0
Dictionnaires Le Robert,0,0,0,0,0,0,0,0,0,0
Energiateollisuus ry+Adato Energia Oy,0,0,0,0,0,0,0,0,0,0
Engineering Information,0,0,0,0,0,0,0,0,0,0
Haymarket Media Group Ltd ,0,0,0,0,0,0,0,0,0,0
MIT Press Journals,0,0,0,0,0,0,0,0,0,0
Association of Asian Studies (AAS),0,0,0,0,0,0,0,0,0,0
BabelScores,0,0,0,0,0,0,0,0,0,0
Content Online Europe Limited,0,0,0,0,0,0,0,0,0,0
Utrikespolitiska Institutet,0,0,0,0,0,0,0,0,0,0
Vittorio Klostermann,0,0,0,0,0,0,0,0,0,0
Brockhaus NE GmbH,0,0,0,0,0,0,0,0,0,0
American Economic Association,0,0,0,0,0,0,0,0,0,0
European Directorate for the Quality of Medicines (EDQM),0,0,0,0,0,0,0,0,0,0
China Academic Journal (CD) Electronic Journals Publishing House Co.,0,0,0,0,0,0,0,0,0,0
Futere CAD,0,0,0,0,0,0,0,0,0,0
Serials Solution,0,0,0,0,0,0,0,0,0,0
International Information Services,0,0,0,0,0,0,0,0,0,0
TLG Project,0,0,0,0,0,0,0,0,0,0
AMERICAN THORACIC SOCIETY,0,0,0,0,0,0,0,0,0,0
SportBusiness Groups,0,0,0,0,0,0,0,0,0,0
Konsulttitoimisto Cadlink Oy,0,0,0,0,0,0,0,0,0,0
MOT,0,0,0,0,0,0,0,0,0,0
Verlag fur chemische industrie,0,0,0,0,0,0,0,0,0,0
InteLex Corporation,0,0,0,0,0,0,0,0,0,0
American Institute of Aeronautics and Astronautics (AIAA),0,0,0,0,0,0,0,0,0,0
Society of American Foresters,0,0,0,0,0,0,0,0,0,0
Expert Information Ltd./ProQuest,0,0,0,0,0,0,0,0,0,0
OTDBASE,0,0,0,0,0,0,0,0,0,0
JOURNAL OF IMMUNOLOGY,0,0,0,0,0,0,0,0,0,0
Global U LearnTechLib,0,0,0,0,0,0,0,0,0,0
Ingram,0,0,0,0,0,0,0,0,0,0
Ecopoint Inc.,0,0,0,0,0,0,0,0,0,0
Third Iron,0,0,0,0,0,0,0,0,0,0
Geological Society of America (GSA)/Ebsco,0,0,0,0,0,0,0,0,0,0
AMERICAN PHYSIOLOGICAL SOCIETY,0,0,0,0,0,0,0,0,0,0
Literary Dictionary Company Limited,0,0,0,0,0,0,0,0,0,0
CompOpus,0,0,0,0,0,0,0,0,0,0
Agence Europe SA/LM,0,0,0,0,0,0,0,0,0,0
Industrial minerals,0,0,0,0,0,0,0,0,0,0
Docutech Ltd,0,0,0,0,0,0,0,0,0,0
ChartCo,0,0,0,0,0,0,0,0,0,0
New York Times,0,0,0,0,0,0,0,0,0,0
Langenscheidt GmbH & Co. KG,0,0,0,0,0,0,0,0,0,0
Richard Boorberg Verlag GmbH & Co KG,0,0,0,0,0,0,0,0,0,0
Tapio,0,0,0,0,0,0,0,0,0,0
eMusicQuest,0,0,0,0,0,0,0,0,0,0
FIZ Karlsruhe,0,0,0,0,0,0,0,0,0,0
Marilyn Conibear,0,0,0,0,0,0,0,0,0,0
Centre for Policy Research,0,0,0,0,0,0,0,0,0,0
Biering & Brinkmann Verlag,0,0,0,0,0,0,0,0,0,0
DigiZeitschriften,0,0,0,0,0,0,0,0,0,0
Geschaeftsstelle DigiZeitschriften e.V. c/o Niedersaechsische Staats-und Univers,0,0,0,0,0,0,0,0,0,0
ERS EUROPEAN RESPIRATORY SOCIETY,0,0,0,0,0,0,0,0,0,0
Britannica/Wize Nordic,0,0,0,0,0,0,0,0,0,0
European Society of Intensive Care Medicine (ESICM),0,0,0,0,0,0,0,0,0,0
Springshare,0,0,0,0,0,0,0,0,0,0
Marketing Science Institute,0,0,0,0,0,0,0,0,0,0
AMERICAN JOURNAL OF PUBLIC HEALTH,0,0,0,0,0,0,0,0,0,0
ISSN-portaali,0,0,0,0,0,0,0,0,0,0
OCEANSIDE PUBLICATIONS INC.,0,0,0,0,0,0,0,0,0,0
Research Professional,0,0,0,0,0,0,0,0,0,0
AMERICAN PSYCHIATRIC ASSOCIATION PUBLISHING,0,0,0,0,0,0,0,0,0,0
Intelligence Research Ltd.,0,0,0,0,0,0,0,0,0,0
DRAM,0,0,0,0,0,0,0,0,0,0
Stellatum Oy,0,0,0,0,0,0,0,0,0,0
